p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	species
9.67976314810876e-41	1.37423354544821	0.261	0.1	2.71604474172784e-36	g.TRINITY-GG-176-c194-g1-i2	Gast
1.98570465638594e-18	1.3682130159477	0.163	0.074	5.5716886953533e-14	g.TRINITY-GG-227-c748-g1-i3	Gast
3.03569215014045e-20	1.36797591816229	0.127	0.048	8.5178486040791e-16	g.TRINITY-GG-238-c319-g1-i11	Gast
2.99098183376496e-16	1.36517795190283	0.108	0.042	8.39239592736111e-12	g.TRINITY-GG-176-c10409-g1-i1	Gast
1.14189792260544e-52	1.36111510298258	0.425	0.196	3.2040513810386e-48	g.TRINITY-GG-56-c73-g1-i1	Gast
5.5205058051787e-47	1.35226230083575	0.253	0.088	1.54899872387509e-42	g.TRINITY-GG-240-c3-g1-i10	Gast
1.92955436426522e-14	1.35165747430846	0.102	0.042	5.41413659069179e-10	g.TRINITY-GG-133-c465-g1-i1	Gast
3.68476881936954e-25	1.35095093799418	0.26	0.128	1.0339092830269e-20	g.TRINITY-GG-150-c26-g1-i13	Gast
1.07245311239867e-69	1.34245960360741	0.532	0.247	3.00919618807943e-65	g.TRINITY-GG-238-c206-g1-i28	Gast
1.85206434632911e-34	1.33775124866145	0.195	0.069	5.19670734936485e-30	g.TRINITY-GG-127-c116-g1-i5	Gast
5.09066817123331e-30	1.33679355726778	0.181	0.066	1.42839058216636e-25	g.TRINITY-GG-238-c2880-g1-i2	Gast
3.28924300918132e-16	1.32561006016966	0.104	0.04	9.22928695946187e-12	g.TRINITY-GG-24-c178-g1-i1	Gast
4.6802257609656e-58	1.3218960203999	0.483	0.232	1.31322454626934e-53	g.TRINITY-GG-6-c131-g2-i1	Gast
2.2643443292389e-22	1.31985144499985	0.157	0.064	6.35352375341143e-18	g.TRINITY-GG-130-c121-g1-i30	Gast
8.24298073523103e-21	1.31829908598996	0.102	0.034	2.31289796449847e-16	g.TRINITY-GG-6-c4533-g1-i14	Gast
3.32678138467962e-22	1.31785818761978	0.119	0.041	9.33461588727255e-18	g.TRINITY-GG-127-c8-g2-i4	Gast
9.01198429483629e-18	1.31391144681696	0.123	0.049	2.52867267328812e-13	g.TRINITY-GG-6-c59-g7-i3	Gast
8.88624339515713e-16	1.31085056610614	0.105	0.041	2.49339103424714e-11	g.TRINITY-GG-150-c3244-g1-i1	Gast
1.07751931839706e-36	1.31021056849141	0.253	0.101	3.02341145549032e-32	g.TRINITY-GG-76-c25-g5-i1	Gast
2.61048397034467e-23	1.30795525104172	0.211	0.097	7.3247569723901e-19	g.TRINITY-GG-238-c51-g1-i1	Gast
1.27782928273093e-21	1.30752620572629	0.146	0.058	3.58546118441473e-17	g.TRINITY-GG-225-c114-g1-i9	Gast
6.56641616691616e-51	1.3005257444435	0.322	0.124	1.84247071227501e-46	g.TRINITY-GG-173-c238-g2-i1	Gast
1.10435066804851e-29	1.29769313427677	0.233	0.1	3.0986975394773e-25	g.TRINITY-GG-173-c273-g1-i10	Gast
1.33861117124027e-34	1.29290384916485	0.261	0.11	3.75600908538307e-30	g.TRINITY-GG-56-c380-g1-i1	Gast
1.61938713385908e-17	1.2913469015736	0.104	0.038	4.54383835889519e-13	g.TRINITY-GG-71-c40-g2-i1	Gast
2.18940815440699e-40	1.28552792019288	0.267	0.105	6.14326034045056e-36	g.TRINITY-GG-24-c260-g1-i10	Gast
2.9029063493457e-51	1.2694757342918	0.529	0.28	8.14526492562909e-47	g.TRINITY-GG-127-c1099-g1-i15	Gast
2.75025374186223e-25	1.26105851537973	0.249	0.118	7.71693697429123e-21	g.TRINITY-GG-76-c35-g2-i9	Gast
3.88850083441493e-15	1.26045488976094	0.109	0.044	1.09107444912848e-10	g.TRINITY-GG-56-c1311-g1-i1	Gast
3.97052152641018e-21	1.25943266134412	0.112	0.038	1.11408863509543e-16	g.TRINITY-GG-94-c32-g1-i1	Gast
3.84923595572913e-19	1.25739956008175	0.122	0.046	1.08005711681804e-14	g.TRINITY-GG-24-c212-g1-i5	Gast
1.48712593560157e-31	1.22667002042498	0.135	0.041	4.17272666270445e-27	g.TRINITY-GG-176-c380-g1-i2	Gast
3.54626115270125e-32	1.22129200717132	0.428	0.252	9.95045416836445e-28	g.TRINITY-GG-150-c2252-g1-i6	Gast
7.30747961595404e-24	1.21418619430177	0.196	0.085	2.05040570544054e-19	g.TRINITY-GG-176-c242-g3-i1	Gast
1.12850459333338e-41	1.21417951542126	0.338	0.15	3.16647103843413e-37	g.TRINITY-GG-173-c537-g1-i47	Gast
1.13342175325656e-41	1.21269537620207	0.41	0.204	3.18026809746258e-37	g.TRINITY-GG-238-c43-g1-i17	Gast
1.63800323410577e-20	1.20675946443131	0.137	0.053	4.59607327457737e-16	g.TRINITY-GG-127-c324-g1-i4	Gast
5.69870626511074e-20	1.20665659084347	0.18	0.081	1.59899999092742e-15	g.TRINITY-GG-176-c180-g1-i15	Gast
1.27635613287066e-40	1.20523102340457	0.296	0.121	3.58132767322179e-36	g.TRINITY-GG-234-c81-g3-i1	Gast
1.24322346281135e-14	1.19879267294604	0.101	0.04	3.48836071430236e-10	g.TRINITY-GG-71-c222-g1-i20	Gast
1.10760193160773e-116	1.19861189732968	0.756	0.36	3.10782025989812e-112	g.TRINITY-GG-6-c14277-g1-i1	Gast
3.84404637110408e-30	1.19165418822849	0.211	0.084	1.07860097126809e-25	g.TRINITY-GG-71-c12-g1-i2	Gast
2.78795200234575e-19	1.18510694717688	0.293	0.168	7.82271452338195e-15	g.TRINITY-GG-95-c395-g2-i10	Gast
8.7188922971931e-22	1.18322298413574	0.133	0.049	2.44643398966941e-17	g.TRINITY-GG-173-c297-g1-i16	Gast
1.31152189094013e-20	1.17768305798658	0.122	0.044	3.67999927378891e-16	g.TRINITY-GG-24-c373-g6-i1	Gast
5.75896994194565e-41	1.17143918287341	0.338	0.15	1.61590937601053e-36	g.TRINITY-GG-95-c450-g1-i13	Gast
4.29904259708532e-17	1.15974694978844	0.224	0.119	1.20626836231617e-12	g.TRINITY-GG-238-c217-g1-i15	Gast
1.04834266965176e-22	1.15447609612939	0.182	0.078	2.94154469677588e-18	g.TRINITY-GG-133-c272-g3-i13	Gast
